firm,year,positive,negative,compound,total_tokens
AQR,2015,87.0,160.0,-0.29554655870445345,1.0
AQR,2016,69.0,183.0,-0.4523809523809524,1.0
AQR,2017,73.0,136.0,-0.3014354066985646,1.0
AQR,2018,68.0,143.0,-0.35545023696682465,1.0
AQR,2019,76.0,188.0,-0.42424242424242425,1.0
AQR,2020,72.0,171.0,-0.4074074074074074,1.0
AQR,2021,82.0,163.0,-0.3306122448979592,1.0
AQR,2022,72.0,148.0,-0.34545454545454546,1.0
AQR,2023,102.0,179.0,-0.27402135231316727,1.0
AQR,2024,88.0,176.0,-0.3333333333333333,1.0
AQR,2025,96.0,140.0,-0.1864406779661017,1.0
Amundi,2019,103.0,158.0,-0.210727969348659,1.0
Amundi,2020,296.0,541.0,-0.2927120669056153,1.0
Amundi,2021,306.0,432.0,-0.17073170731707318,1.0
Amundi,2022,200.0,364.0,-0.2907801418439716,1.0
Amundi,2023,224.0,463.0,-0.34788937409024745,1.0
Amundi,2024,215.0,422.0,-0.3249607535321821,1.0
Amundi,2025,307.0,471.0,-0.21079691516709512,1.0
BMO,2020,311.0,347.0,-0.0547112462006079,1.0
BMO,2021,48.0,49.0,-0.010309278350515464,1.0
BMO,2022,18.0,42.0,-0.4,1.0
BMO,2023,89.0,122.0,-0.15639810426540285,1.0
BMO,2024,108.0,127.0,-0.08085106382978724,1.0
BMO,2025,76.0,77.0,-0.006535947712418301,1.0
BNYM,2021,49.0,88.0,-0.2846715328467153,1.0
BNYM,2022,48.0,95.0,-0.32867132867132864,1.0
BNYM,2023,71.0,168.0,-0.40585774058577406,1.0
BNYM,2024,150.0,116.0,0.12781954887218044,1.0
BNYM,2025,116.0,136.0,-0.07936507936507936,1.0
BlackRock,2019,114.0,292.0,-0.43842364532019706,1.0
BlackRock,2020,18.0,26.0,-0.18181818181818182,1.0
BlackRock,2021,123.0,186.0,-0.20388349514563106,1.0
BlackRock,2022,89.0,158.0,-0.2793522267206478,1.0
BlackRock,2023,112.0,221.0,-0.32732732732732733,1.0
BlackRock,2024,175.0,166.0,0.026392961876832845,1.0
BlackRock,2025,133.0,166.0,-0.11036789297658862,1.0
CapitalGroup,2022,109.0,96.0,0.06341463414634146,1.0
CapitalGroup,2023,144.0,216.0,-0.2,1.0
