Year,Topic,Name,Probability
2015,-1,-1_growth_global_inflation_market,0.0
2016,-1,-1_growth_global_inflation_market,0.0
2017,-1,-1_growth_global_inflation_market,0.0
2018,-1,-1_growth_global_inflation_market,0.0
2019,-1,-1_growth_global_inflation_market,0.0
2020,-1,-1_growth_global_inflation_market,0.0
2021,-1,-1_growth_global_inflation_market,0.0
2022,-1,-1_growth_global_inflation_market,0.0
2023,-1,-1_growth_global_inflation_market,0.0
2024,-1,-1_growth_global_inflation_market,0.0
2025,-1,-1_growth_global_inflation_market,0.0
