firm,topic_0,topic_1,topic_2
AQR,1.0,1.343344603105345e-308,1.168053774059088e-308
Amundi,8.754410657146715e-309,1.1985340495979215e-308,1.0
BMO,9.449632107780454e-309,8.751719225475364e-309,1.0
BNYM,1.0,1.3418489899500455e-308,1.0560259682777484e-308
BlackRock,0.20230049593189303,0.46049618011079474,0.28386307518654624
CapitalGroup,9.592703135986996e-309,1.073582965016154e-308,1.0
Fidelity,0.19325552719061118,0.4148229977200937,0.2702062740229201
FranklinTempleton,0.23303271487642768,0.21991154238785734,0.5470557427357149
GMO,1.3681764392346154e-308,1.028755308376942e-308,1.0
GoldmanSachs,8.229258358058566e-309,8.764846847373105e-309,1.0
Invesco,8.334417103558067e-309,1.1218219846932553e-308,1.0
JPMorgan,1.309935978259656e-308,1.0,1.1150456817005665e-308
Morningstar,9.933062258338757e-309,8.00633925342319e-309,1.0
NothernTrust,0.2353439593679115,0.23769827133475574,0.5269577692973327
StateStreet,0.3221953417718298,0.26182558082916346,0.41597907739900675
TRowePrice,1.0325805261122125e-308,1.446232919058311e-308,1.0
TrowePrice,0.22653508843115042,0.3995586720582149,0.23450927795631246
Troweprice,8.66368650178061e-309,1.125851487451383e-308,1.0
UBS,9.336819927235593e-309,9.622481466504897e-309,1.0
Vanguard,1.1719999849237694e-308,1.0,1.182148365188179e-308
Voya,1.0,1.0107046555533684e-308,1.242373594674438e-308
WellsFargoInvestmentInstitute,1.3814758164108594e-308,1.0,1.426460834817051e-308
