Firm,topic,word,weight
Firm,0,investors,0.0700463681920832
Firm,0,global,0.06960896692432497
Firm,0,strategist,0.06760349918816252
Firm,0,investment,0.057851115384035305
Firm,0,vice,0.047136552199326144
Firm,0,market,0.047085848516064364
Firm,0,institutional,0.04590682167370429
Firm,0,president,0.04094163952230309
Firm,0,head,0.040571629038823276
Firm,0,qualified,0.04050601912385673
Firm,1,investment,0.045656962490557895
Firm,1,investors,0.036922800735708396
Firm,1,outlook,0.03069462642917216
Firm,1,market,0.028956509166043688
Firm,1,2023,0.026727323479583526
Firm,1,opportunities,0.02467591547977338
Firm,1,year,0.023439061342539782
Firm,1,investing,0.023141946024832376
Firm,1,risk,0.022975564384313755
Firm,1,global,0.021252005481051425
Firm,2,year,0.03331672021994708
Firm,2,growth,0.030529823196036525
Firm,2,markets,0.02502480091119383
Firm,2,global,0.022570504247887133
Firm,2,ubs,0.022519595189593032
Firm,2,inflation,0.02178329220149012
Firm,2,ahead,0.021750682486828706
Firm,2,value,0.02126952433105388
Firm,2,market,0.01948758076615188
Firm,2,yield,0.018753414468176324
Firm,3,assumptions,0.06495278283493156
Firm,3,asset,0.06486875009170753
Firm,3,expected,0.06337237663021139
Firm,3,returns,0.05949836306519565
Firm,3,estimates,0.058495529504204336
Firm,3,capital,0.04408148678865295
Firm,3,market,0.043724544290942975
Firm,3,classes,0.04207105029482304
Firm,3,return,0.04142185423379208
Firm,3,portfolio,0.03910845433321971
Firm,4,market,0.032260647595650886
Firm,4,growth,0.029566545122724285
Firm,4,economic,0.026715376224966777
Firm,4,investment,0.02625380047288272
Firm,4,economy,0.024956253299303226
Firm,4,outlook,0.024710159753595914
Firm,4,global,0.0237424730084357
Firm,4,investors,0.023197332828737115
Firm,4,year,0.021238057130982306
Firm,4,rates,0.021226082423790083
Firm,5,phd,0.057227566730460366
Firm,5,economist,0.05056453336783443
Firm,5,investment,0.04609213369683745
Firm,5,cfa,0.04112441926868558
Firm,5,msc,0.041026007323429654
Firm,5,vanguard,0.040365926590745574
Firm,5,chief,0.038770681500107915
Firm,5,blackrock,0.038012697896288444
Firm,5,global,0.037567381489342966
Firm,5,inflation,0.0361750800279882
