firm,topic_0,topic_1
AQR,0.3199784731134822,0.36521161383096024
Amundi,1.0,1.049340075928988e-308
BMO,0.6694446389482412,0.33055536105175887
BNYM,0.3112250606460291,0.3739650262984134
BlackRock,1.0454996838729436e-308,1.0
CapitalGroup,1.0,1.010436488001707e-308
Fidelity,1.28548951801093e-308,1.0
FranklinTempleton,1.0,7.42921263983681e-309
GMO,1.0,8.823820638776665e-309
GoldmanSachs,1.0,8.707942187191646e-309
Invesco,1.0,9.98049970227113e-309
JPMorgan,8.311928234919303e-309,1.0
Morningstar,1.0,6.38403101508301e-309
NothernTrust,1.0,7.860555262087724e-309
StateStreet,1.0,8.06816733686492e-309
TRowePrice,1.0,1.3141534817380214e-308
TrowePrice,9.996559871385305e-309,1.0
Troweprice,1.0,1.04517672670238e-308
UBS,0.636864374235795,0.363135625764205
Vanguard,8.81125956095578e-309,1.0
Voya,0.3643245802037131,0.32086550674072944
WellsFargoInvestmentInstitute,1.1236265450268497e-308,1.0
