firm,year,filename,summary,positive,negative,compound_sentiment,total_tokens,asset_counts,region_counts,aspect_sentiments,region_sentiments,topic_id,topic_keywords,topic_label
Invesco,2020,11_Invesco_2020.pdf,"Some major central banks have become more accommodative, while geopolitical disruption continues to cast a shadow over growth. All told, we forecast global economic growth of about 3% for 2020. Regionally, we expect the lowest growth from Japan, the UK, and the eurozone and the highest from Asian emerging markets and China.",96,136,-0.1724137931034483,1,"{'Equity': 18, 'Fixed Income': 9, 'Real Estate': 5, 'Commodities': 7, 'Alternatives': 2, 'Infrastructure': 1, 'Private Equity': 3, 'Hedge Funds': 3, 'Cash': 4}","{'USA': 99, 'Europe': 75, 'Asia': 48, 'Emerging Markets': 12}","{'Equity': 0.25315370559692385, 'Fixed Income': 0.43397606909275055, 'Real Estate': 0.29185720284779865, 'Commodities': -0.6872739195823669, 'Alternatives': 0.437785804271698, 'Infrastructure': 0.7172465920448303, 'Private Equity': 0.0, 'Hedge Funds': 0.0, 'Cash': 0.29682280619939166}","{'USA': 0.0748670524672458, 'Europe': -0.020235712913905874, 'Asia': 0.13659216200604157, 'Emerging Markets': 0.10391251742839813}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Invesco,2021,11_Invesco_2021.pdf,"The year 2020 saw the global economy plunged into economic turmoil. The shape of economic growth in the coming year is dependent on a wide variety of factors. East Asia – in particular, China, Japan and South Korea – has managed the virus well. Much of the developed world and many emerging markets have struggled to contain the pandemic.",79,77,0.01282051282051282,1,"{'Equity': 19, 'Fixed Income': 17, 'Real Estate': 3, 'Commodities': 1, 'Alternatives': 2, 'Infrastructure': 2, 'Private Equity': 1, 'Hedge Funds': 1, 'Cash': 2}","{'USA': 114, 'Europe': 51, 'Asia': 38, 'Emerging Markets': 2}","{'Equity': 0.7008887844927171, 'Fixed Income': 0.5671254304739145, 'Real Estate': 0.30314139525095624, 'Commodities': 0.92739337682724, 'Alternatives': 0.7773993909358978, 'Infrastructure': 0.4670789837837219, 'Private Equity': 0.0, 'Hedge Funds': 0.0, 'Cash': 0.4687829315662384}","{'USA': 0.11713862180709839, 'Europe': -0.05713130474090576, 'Asia': 0.2799294645136053, 'Emerging Markets': -0.9373312592506409}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Invesco,2022,11_Invesco_2022.pdf,"This marketing communication is for Professional Clients only in Dubai, Jersey, Guernsey, Isle of Man, Ireland, Continental Europe (as defined on page 21) and the UK. The document is intended only for accredited investors as defined under National Instrument 45- 106 in Canada. It is not intended for and should not be distributed to, or relied upon, by the public or retail investors.",77,110,-0.17647058823529413,1,"{'Equity': 12, 'Fixed Income': 13, 'Real Estate': 6, 'Commodities': 4, 'Alternatives': 3, 'Infrastructure': 3, 'Private Equity': 2, 'Hedge Funds': 1, 'Cash': 0}","{'USA': 149, 'Europe': 40, 'Asia': 20, 'Emerging Markets': 9}","{'Equity': 0.060231930679745145, 'Fixed Income': 0.07009907439351082, 'Real Estate': 0.3185187578201294, 'Commodities': -0.3105483055114746, 'Alternatives': -0.2630087335904439, 'Infrastructure': 0.332946240901947, 'Private Equity': -0.06156685948371887, 'Hedge Funds': 0.665892481803894, 'Cash': None}","{'USA': 0.09652558162614897, 'Europe': 0.08912186412250295, 'Asia': -0.021550089120864868, 'Emerging Markets': 0.18297891616821288}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Invesco,2023,11_Invesco_2023.pdf,"2023 Investment Outlook APAC Version 1 Executive summary Introduction In September, the World Bank warned that “central banks around the world have been raising interest rates this year with a degree of synchronicity not seen over the past five decades” We believe we are currently in the contraction phase of the economic cycle with global growth below trend and decelerating. We think the contraction globally will be a modest soft patch, although some economies will be hit harder than others. If inflation remains stubbornly high, we assume central banks will continue tightening monetary policy for longer.",142,290,-0.3425925925925926,1,"{'Equity': 29, 'Fixed Income': 52, 'Real Estate': 7, 'Commodities': 1, 'Alternatives': 2, 'Infrastructure': 1, 'Private Equity': 2, 'Hedge Funds': 0, 'Cash': 0}","{'USA': 211, 'Europe': 67, 'Asia': 99, 'Emerging Markets': 13}","{'Equity': 0.10260377759518831, 'Fixed Income': 0.034863724373281, 'Real Estate': 0.045325513396944316, 'Commodities': 0.0, 'Alternatives': 0.311672568321228, 'Infrastructure': 0.0, 'Private Equity': 0.311672568321228, 'Hedge Funds': None, 'Cash': None}","{'USA': -0.02649396047240398, 'Europe': -0.08166606937135969, 'Asia': 0.14577948525547982, 'Emerging Markets': 0.08977753520011902}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Invesco,2024,11_Invesco_2024.pdf,"This marketing communication is for Professional Clients, Financial Advisers, Qualified Clients/Sophisticated Investors. It is not intended for and should not be distributed to or relied upon by the public or retail investors. In Canada, this document is restricted to Institutional Investors and Advisors.",155,227,-0.18848167539267016,1,"{'Equity': 23, 'Fixed Income': 39, 'Real Estate': 6, 'Commodities': 10, 'Alternatives': 3, 'Infrastructure': 1, 'Private Equity': 2, 'Hedge Funds': 0, 'Cash': 1}","{'USA': 204, 'Europe': 52, 'Asia': 35, 'Emerging Markets': 8}","{'Equity': 0.3645171752342811, 'Fixed Income': 0.34441589013389917, 'Real Estate': 0.3051981528600057, 'Commodities': 0.40265803039073944, 'Alternatives': -0.31564358870188397, 'Infrastructure': 0.9507491588592529, 'Private Equity': -0.4818321466445923, 'Hedge Funds': None, 'Cash': -0.7316497564315796}","{'USA': 0.08665968982442733, 'Europe': 0.024003680633461994, 'Asia': 0.07784177441346019, 'Emerging Markets': 0.5461423620581627}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
Invesco,2025,11_Invesco_2025.pdf,"Many of the world’s central banks, having largely succeeded in curbing inflation, are now easing monetary policies with the aim of stimulating growth. In 2025, we anticipate signs of economic deceleration to be counteracted by the supportive impact of the global rate-cutting cycle. Overall, we expect a conducive environment for risk assets, particularly in non- US developed markets, small capitalization stocks, and value sectors in the US.",139,242,-0.27034120734908135,1,"{'Equity': 29, 'Fixed Income': 19, 'Real Estate': 11, 'Commodities': 15, 'Alternatives': 5, 'Infrastructure': 1, 'Private Equity': 3, 'Hedge Funds': 3, 'Cash': 2}","{'USA': 222, 'Europe': 57, 'Asia': 66, 'Emerging Markets': 15}","{'Equity': 0.13947534340399284, 'Fixed Income': 0.2562008276581764, 'Real Estate': 0.03396632522344589, 'Commodities': 0.2160567045211792, 'Alternatives': 0.0, 'Infrastructure': 0.9323357343673706, 'Private Equity': 0.0, 'Hedge Funds': -0.17269535859425864, 'Cash': 0.0}","{'USA': 0.15997197336822977, 'Europe': 0.23369580301745185, 'Asia': 0.2245129644870758, 'Emerging Markets': 0.5658757794987072}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2017,12_JPMorgan_2017.pdf,"U.S. economic growth and inflation could be accelerated by President-elect Trump’s fiscal plans. This, along with a warming in the global economy, is positive for global equities and negative for fixed income. Growing global debt, the rise of political populism and geo- political threats all still highlight the need for diversification.",113,148,-0.13409961685823754,1,"{'Equity': 14, 'Fixed Income': 12, 'Real Estate': 1, 'Commodities': 0, 'Alternatives': 0, 'Infrastructure': 5, 'Private Equity': 0, 'Hedge Funds': 0, 'Cash': 2}","{'USA': 86, 'Europe': 26, 'Asia': 24, 'Emerging Markets': 8}","{'Equity': 0.1510438987841973, 'Fixed Income': 0.19558898359537125, 'Real Estate': 0.9541484713554382, 'Commodities': None, 'Alternatives': None, 'Infrastructure': 0.9212107062339783, 'Private Equity': None, 'Hedge Funds': None, 'Cash': 0.22771936655044556}","{'USA': 0.16585625323557085, 'Europe': -0.029646749297777813, 'Asia': 0.14818885922431946, 'Emerging Markets': 0.28010309860110283}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2018,12_JPMorgan_2018.pdf,"The recovery may be ‘old,’ but there is still scope for the expansion to broaden. Central banks committed to maintain accommodative policy for the foreseeable future. Cash is expected to produce a negative real return for yet another year.",59,119,-0.33707865168539325,1,"{'Equity': 5, 'Fixed Income': 5, 'Real Estate': 0, 'Commodities': 0, 'Alternatives': 0, 'Infrastructure': 0, 'Private Equity': 0, 'Hedge Funds': 0, 'Cash': 2}","{'USA': 94, 'Europe': 95, 'Asia': 46, 'Emerging Markets': 3}","{'Equity': 0.0, 'Fixed Income': -0.3768104791641235, 'Real Estate': None, 'Commodities': None, 'Alternatives': None, 'Infrastructure': None, 'Private Equity': None, 'Hedge Funds': None, 'Cash': -0.970051109790802}","{'USA': 0.08491867696735221, 'Europe': -0.017407140066457348, 'Asia': 0.12588947266340256, 'Emerging Markets': 0.6315822203954061}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2019,12_JPMorgan_2019.pdf,"The U.S. economy should slow but not stall in 2019 due to fading fiscal stimulus, higher interest rates and a lack of workers. Investors may want to adopt a more conservative stance in their fixed income portfolios. Timeless investing principles are especially relevant for investors in what appears to be the later stages of a market cycle.",112,215,-0.3149847094801223,1,"{'Equity': 28, 'Fixed Income': 19, 'Real Estate': 0, 'Commodities': 0, 'Alternatives': 0, 'Infrastructure': 0, 'Private Equity': 0, 'Hedge Funds': 0, 'Cash': 18}","{'USA': 92, 'Europe': 39, 'Asia': 30, 'Emerging Markets': 0}","{'Equity': 0.0006248819828033448, 'Fixed Income': -0.07408805688222249, 'Real Estate': None, 'Commodities': None, 'Alternatives': None, 'Infrastructure': None, 'Private Equity': None, 'Hedge Funds': None, 'Cash': 0.0}","{'USA': 0.036932225676550384, 'Europe': 0.08753626311526579, 'Asia': 0.012793198875758959, 'Emerging Markets': None}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
JPMorgan,2020,12_JPMorgan_2020.pdf,Investment strategies for a late-cycle environment. Modest U.S. equity gains should be built on somewhat higher avoid recession in 2020. Overseas economies should see modest improvement as trade tensions ease. International equities should outperform in the long run.,105,177,-0.2553191489361702,1,"{'Equity': 18, 'Fixed Income': 9, 'Real Estate': 0, 'Commodities': 0, 'Alternatives': 1, 'Infrastructure': 1, 'Private Equity': 0, 'Hedge Funds': 0, 'Cash': 2}","{'USA': 69, 'Europe': 27, 'Asia': 24, 'Emerging Markets': 6}","{'Equity': 0.5285581280203426, 'Fixed Income': -0.1758340671658516, 'Real Estate': None, 'Commodities': None, 'Alternatives': 0.824382483959198, 'Infrastructure': 0.5084273815155029, 'Private Equity': None, 'Hedge Funds': None, 'Cash': 0.26771754026412964}","{'USA': 0.08376084587403707, 'Europe': 0.007444032600947789, 'Asia': 0.015421256422996521, 'Emerging Markets': 0.12510504325230917}",0,"[('the', 0.11447594875183065), ('and', 0.07945768982930382), ('of', 0.07586483698910183), ('to', 0.07392248811795796), ('in', 0.07153207934828493), ('for', 0.04336095749810486), ('is', 0.04003583565185747), ('as', 0.03608450060291426), ('are', 0.0319405978497015), ('we', 0.03121471118042685)]","the, and, of"
