Year,topic_0,topic_1,topic_2,topic_3
2015,1.0,1.435943799738252e-308,1.423973674372907e-308,1.781407092756983e-308
2016,1.0,1.3357637713726675e-308,1.4395109374472235e-308,1.6617161141324024e-308
2017,1.8214463799630165e-308,2.4935755148051987e-308,1.2155571697075555e-308,1.0
2018,0.17910698006163922,0.2489681650838407,0.10499094139732727,0.2177097922837041
2019,1.6144437785873643e-308,2.4847934809417377e-308,1.1891126494965595e-308,1.0
2020,0.38460108184660796,0.16537713767946358,0.2523443300634125,0.1820314361922627
2021,0.1587080750058065,0.12683460387222426,0.38323666584087235,0.14852885365128618
2022,1.2890709641633377e-308,8.88676004922368e-309,1.0,1.036000150372767e-308
2023,1.3251173250894414e-308,1.0,8.84478325219402e-309,2.2300040621006055e-308
2024,1.275157464674974e-308,8.759816817153973e-309,1.0,1.0648453757023634e-308
2025,1.172354751334046e-308,1.0,9.171016792900735e-309,2.237885590822904e-308
